Author Name,Book Name,Language,Words,Age,Views,Favorite
Smiley sn,Eclipse,English,18067,0 and up,219,5
Susan Evelyn,Fade to Black,English,537,0 and up,219,1
Eftos,S01E04 Kingdom of a thousand,English,564,0 and up,218,0
Peter Edgell,Ratz,English,2156,0 and up,217,2
Eftos Epos,Eftos-Epos S02E08 Svennedy,English,1178,0 and up,216,0
Eftos,S01E10 I-transport,English,1637,0 and up,215,0
Eftos,S01E11 И =,English,1786,0 and up,215,0
Mia  Sparks,QuickSilver,English,52,12 and up,214,3
Eftos,S01E01 Causal,English,1279,0 and up,211,1
Dina Galli,were the hell am I,English,1985,0 and up,210,3
Vadim Babenko,Semmant,English,2849,12 and up,210,0
Amanda Forgei,Spun,English,238,12 and up,209,1
Eftos,S01E15 Exa Retzlav,English,1561,0 and up,208,0
Lucia Roberts,Royally Emma,English,15935,14 and up,208,0
Ella Sultani,Remember That?,English,4342,14 and up,208,0
Aurora Clark,Surely Justice,English,2,0 and up,207,1
Mira Moon,Break through,English,1905,0 and up,207,2
peter edgell,illumination,English,2248,0 and up,205,2
aimeegneiting,The Wall,English,661,0 and up,204,0
Christian F,Rise of the pagator,English,17,0 and up,203,2
Samuel Whitley,The story of MASTER CHIEF,English,143,0 and up,203,2
Amber Millard,Flicker,English,12,16 and up,202,1
Eftos Epos,Eftos-Epos S02E05 Last happy day on earth,English,1254,0 and up,202,0
Hennesey  wesley,The chosen one ,English,163,12 and up,202,2
Carl Plumer,How to Save a World From Dying: A Demon Apocalypse Love Story,English,2061,14 and up,201,0
Steve Kennedy,The Devil’s Watch,English,722,0 and up,199,0
Eftos,S01E14 at Svinenyshs home,English,3385,0 and up,198,0
Eftos Epos,Eftos-Epos S02E06 Gutless attack at Alanis,English,1259,0 and up,198,0
Garrett  Curbow ,Shadow of Death Chapter One Only,English,1365,12 and up,198,1
Edge,Dead Tropics,English,2,0 and up,197,3
Drig Dramel,Ada and Tak,English,434,12 and up,197,2
Evelyn J. Steward,Inroads,English,685,0 and up,196,2
Eftos Epos,Eftos-Epos S02E02 Brain transplantation,English,1082,0 and up,196,1
Jessica Ussery,Infamous,English,1954,0 and up,196,0
Eftos Epos,Eftos-Epos S01E27 at the Septemberfest,English,1877,0 and up,195,0
Eftos Epos,Eftos-Epos S02E10 The eastern clan,English,794,0 and up,192,0
Eftos Epos,Eftos-Epos S01E21 Telematics,English,1680,0 and up,191,0
aimeegneiting,Sharilien,English,1008,0 and up,190,1
WRITINGxPL4NET/ Matt,Spacestation: The Horde Chronicles,English,499,0 and up,190,1
Eftos Epos,Eftos-Epos S01E19 Tour through the grave,English,2369,0 and up,189,0
Eftos Epos,Eftos-Epos S01E26 Emergency landing in Sarpsborg,English,1757,0 and up,188,0
Eftos,S01E07 Alanis College,English,2810,0 and up,187,0
Eftos Epos,Eftos-Epos S02E04 Margot's nasty Plan,English,1300,0 and up,184,0
E FromHebs,The Seven lost Orsa's - book one - Defiance,English,10646,12 and up,184,3
renesmee411,Broken Sun,English,726,10 and up,184,1
Grace Smith,The Trials,English,5996,12 and up,183,3
E.A. McGrath,The Newfound Freedom,English,1033,12 and up,183,3
Eftos Epos,Eftos-Epos S02E11 On own accord,English,1169,0 and up,183,0
G.P Paudel,Love story of a Captain,English,1723,3 and up,181,1
Julie Steimle,The Millennial Box,English,81732,14 and up,181,1
m.s.mitchell,silver,English,2,0 and up,180,2
Eftos Epos,Eftos-Epos S01E17 Trip to Vex,English,1713,0 and up,180,0
Thomas R. Skidmore,The Dawn-Rise of the New Sword,English,2,0 and up,180,1
bkbarnes197,Prove Them Right,English,100,0 and up,178,1
Speculative Fiction Authors,Unless I'm Taken Again,English,9,0 and up,177,0
James Gerard,The Happy Haven,English,20654,16 and up,175,2
Eftos Epos,Eftos-Epos S01E23 In the new world,English,1404,0 and up,174,0
Skittles.writer,The Mysteries Of North America with Zi and Zoe,English,1,0 and up,173,0
Eftos Epos,Eftos-Epos S01E25 Pow-wow MOW-I,English,1547,0 and up,172,0
Eftos Epos,Eftos-Epos S01E28 Exo,English,2612,0 and up,172,0
DENNIS  G.,HERE NOR THERE,English,2888,0 and up,170,4
Tony Thorne MBE,Relocated,English,2,0 and up,167,0
SpecFic Author's,The Cowbell Rebellion,English,1125,10 and up,167,1
"darksoulminer unknown, destroyer destroyer",moon miner #1,English,2199,12 and up,167,3
Eftos,S01E02 - Technischer Autismus (DE),English,764,0 and up,166,0
Cain A. Vickers,Tip of the Spear,English,1,0 and up,164,0
Derick William Dalton,Houses of Common (five-chapter sample),English,2,0 and up,164,0
Eftos Epos,Eftos-Epos S01E20 Njall Linaesu,English,1310,0 and up,164,0
Eftos Ent.,Eftos-Epos S02E03 Rebelkov the New,English,1944,0 and up,163,0
Kurt Alan Tornberg,The station,English,467,0 and up,163,0
James  Gerard,Solutions: A Man's Dilemma,English,18709,16 and up,163,1
Emelina Whitney,Exscidium,English,2,0 and up,162,1
Michael Kilcannon,Collections,English,2311,0 and up,162,0
Praveen Crypty R,Golder,English,1090,3 and up,160,2
Evelyn J. Steward,"Warshaaree   (Bk 1, Chapt. 2",English,1279,0 and up,157,2
James Gerard,Solutions: The Dilemma of Patience,English,13040,16 and up,156,0
Eftos Epos,Eftos-Epos S02E07 Crisis mood,English,1742,0 and up,155,0
Hanna Q,Revenge,English,252,10 and up,155,1
sherwin smallwood,dimention seekers,English,1779,0 and up,155,0
Evelyn J. Steward,Time Scape,English,1767,0 and up,154,3
Grace  Smith,The Bitter Truth,English,330,12 and up,154,1
Olivia Price,Orphanager,English,1,16 and up,154,1
SpecFic Author's,Spacerover One,English,212,10 and up,152,2
James Gerard,Divisions,English,23187,16 and up,151,3
BR Sunkara,Hunt For Planets,English,1545,12 and up,149,1
Jsivick,The Conquest of Jagga,English,2,14 and up,147,1
Moein  Mansoori Fard,The Frozen Desert,English,96364,14 and up,146,0
Ethan Sorrels,The Adventure in a Black Hole,English,567,0 and up,142,1
Mike Cooley,Desert Voices,English,2,10 and up,142,2
Seraph Wedd,Ex-Machines,English,1952,10 and up,141,1
Otto Gramm,Chameleon,English,50914,16 and up,141,0
Speculative Fiction Authors,The Gift Of Number 3,English,445,10 and up,138,0
Mario Kresnadi,Forever After,English,4355,12 and up,135,1
James Gerard,Solutions: A Dog's Dilemma,English,28995,16 and up,133,1
Kyler Sorba,The Time When Things Were Green,English,871,14 and up,126,0
Cleo Thomas,The flight of a hero,English,7622,0 and up,126,1
"destroyer unknown, darksoulminer unknawn",heluim-3 miner #2,English,146,0 and up,125,1
Mythic .,Luxuria sanguis,English,2926,14 and up,122,1
Retifer M.,Phantom,English,29311,16 and up,118,1
Thomas R. Skidmore,Starswan,English,2,0 and up,116,1
Breanna Ashcraft,Fairytale Wars,English,11,12 and up,116,3
James Gerard,Solutions: The Dilemma for the Gods,English,20454,16 and up,114,1
Julie Steimle,Adult,English,4650,14 and up,112,1
Ale Stone,The Time Machine,English,90244,18 and up,110,9
Jessica Hemsworth,Stitchers,English,660,14 and up,107,2
Julie Steimle,Adult Test,English,9977,12 and up,104,0
Juliet Revenge,Episode 1,English,97,12 and up,100,1
Hyoshi Kuratake,ＶＲＭＭＯ２０２Ｘ,English,2395,14 and up,100,0
Funeral Crasher,Pinky Promise,English,7425,18 and up,96,4
"luke graham, mrs davies",the day in the libary,English,512,10 and up,95,1
Matthew Joseph,Robokangaroo,English,684,8 and up,93,0
Jay H,Hiroki Minako,English,1135,0 and up,91,0
Ricardo Simiyu,Rise of the new age heroes,English,1237,14 and up,91,0
Julie Steimle,Bloody Choices,English,9130,14 and up,91,2
John Choi,rm-f,English,1653,14 and up,88,1
Jeff Schanz,The Ranch,English,12116,14 and up,86,2
Seung-Mi Kim,Mind Games,English,1198,14 and up,79,1
James Gerard,Solutions: The Dilemma for Men,English,22161,16 and up,77,1
Susann Greendragon,Cyborg - Emulating Life,English,4639,16 and up,73,1
Julie Steimle,At Council,English,4576,14 and up,73,0
Julie Steimle,A Glass of Tsilk,English,4360,14 and up,73,1
James Gerard,Solutions: The Dilemma of Faith,English,15309,16 and up,71,1
Nolan Simmons,Conquering the school,English,310,0 and up,70,0
AshabeeGrbl . ,Rogue,English,1133,12 and up,64,0
Nathan Wolf,Yesterday's Tomorrow,English,31568,16 and up,56,0
Julie  Steimle,Caught,English,5505,12 and up,56,2
Michael Ross,Curse of Burnum,English,2023,12 and up,55,0
Julie Steimle,Zeta District,English,4178,12 and up,54,0
Julie Steimle,Back in Flight,English,3638,14 and up,52,0
Julie Steimle,Just an Undercity Rat,English,12995,14 and up,51,1
Julie  Steimle,The First Escape,English,7270,14 and up,51,1
Julie Steimle,Within the Tunnels,English,7641,14 and up,50,1
C T,The Rose of Anakin,English,8828,6 and up,49,1
Julie Steimle,Four,English,4457,14 and up,49,1
Julie  Steimle,History Test,English,9961,14 and up,46,0
Julie Steimle,One Month,English,4041,14 and up,46,0
Julie Steimle,Emigration,English,5768,14 and up,44,1
Julie Steimle,P.M.,English,3546,14 and up,34,1
Nick Venom,A Cursed Gift,English,339,0 and up,33,0
C T,The Descent of Wren,English,16,6 and up,33,1
Julie  Steimle,Flight School,English,6379,12 and up,31,1
Julie  Steimle,What Rats Do,English,6120,14 and up,29,1
Trish Hanan,Harry and the Birdman,English,88399,18 and up,28,6
James R. Musgrave,Zinggong Cowboys,English,4739,18 and up,27,3
Aryan Jassal,The Byte,English,5471,8 and up,27,0
Julie Steimle,Pronuk,English,4087,12 and up,26,1
Alan Nicoll,The Three K'th,English,138664,18 and up,23,4
Julie Steimle,Promotion,English,3694,12 and up,22,0
Bill Kandiliotis,Ytterbium Fires,English,23055,14 and up,21,0
Jeff Schanz,"Guardians of the Gates - Part 1, The New Breed",English,128196,14 and up,18,1
Philip Wang,Lost Prequel: A Story of Black and White,English,87660,18 and up,17,4
Tai Goodman,BLOODWORTH IV: Peter Strikes Back,English,19945,14 and up,16,1
Doc Lee,Ultraman ,English,1818,6 and up,15,0
Sandra Rains,The Mourning,English,2,18 and up,14,2
Zune164,Blake and Violet,English,4785,18 and up,13,1
Russell Spears,Perishing World,English,3060,16 and up,11,0
Tai Goodman,BLOODWORTH 3: Blut und Stahl,English,15341,14 and up,11,1
Ronald J. DeNardo,The Andromeda Incident,English,2,18 and up,11,1
Kile,Sam and the Aliens,English,2,18 and up,9,0
Lisa Augusta,THE MILK CARTON,English,2,18 and up,7,0
Sasha Wheeler,Object of Desire,English,10732,18 and up,6,1
Zvi Zaks,A Medical Exam,English,2,18 and up,5,0
Christopher  Leadem,The Mantooth (Fiscle Part-X),English,93840,18 and up,5,1
M J Marlow,Uncertain Trust,English,2,18 and up,4,1
Kuldeep Apte,Year 2080 on Planet Earth,English,14174,18 and up,4,4
Alexandr Pryalukhin,"Sonny, reinstall your sister",English,758,12 and up,4,0
Robert J.  Shea,The Helpful Robots,English,1091,18 and up,4,1
Thomas Nelson  Page,Gordon Keith,English,175601,18 and up,3,0
"Ernst  Haeckel , J. Arthur  Thomson ",Evolution in Modern Thought,English,99237,18 and up,3,0
Jules  Verne,20000 Leagues Under The Seas,English,148482,18 and up,3,3
" IRVING  E. COX, JR.",LOVE STORY,English,5946,18 and up,3,1
 M. Luckiesh,Artificial Light,English,104447,18 and up,3,0
Kurt Tornberg,Awake,English,1133,18 and up,3,1
andreas buechel,l amour l amour perma and ascende in paris,English,46752,18 and up,3,0
Unknown .  ,Through Palestine with the 20th Machine Gun Squadron,English,39635,18 and up,3,0
 Judith  Merril,Exile from Space,English,15826,18 and up,3,1
Everett B.   Cole,Final Weapon,English,20543,18 and up,3,0
John Moncure  Wetterau,"Wild, Hard, Sweet",English,46253,18 and up,3,1
Frank Belknap  Long,The Sky Trap,English,5596,18 and up,3,1
Russell Burton,Weak On Square Roots,English,2809,18 and up,3,1
W.W. Skupeldyckle,The Romantic Analogue,English,4304,18 and up,3,0
EDWARD ELMER SMITH,TRIPLANETARY,English,57086,18 and up,3,0
VARIOUS  AUTHORS,THOUGHTCRIME EXPERIMENTS,English,58423,18 and up,3,0
FREDERIK POHL,THE TUNNEL UNDER THE WORLD,English,11338,18 and up,3,2
RICHARD   WILSON,BACK TO JULIE,English,2250,18 and up,3,0
CLIFFORD DONALD SIMAK,THE WORLD THAT COULDN'T BE,English,14841,18 and up,3,0
PETER  WATTS,BLINDSIGHT,English,103967,18 and up,3,0
 T. B.  RAY,BRAZILIAN SKETCHES,English,32026,18 and up,3,0
"GORDON RANDALL  GARRETT , LAURENCE  MARK JAN",BRAIN TWISTER,English,40546,18 and up,3,0
RICHARD  SABIA,I WAS A TEEN-AGE SECRET WEAPON,English,12750,18 and up,3,0
ROBERT  SHECKLEY,ASK A FOOLISH QUESTION,English,2913,18 and up,3,1
E. K.  JARVIS,BEFORE EGYPT,English,17395,18 and up,3,0
ROBERT  W. CHAMBERS,BARBARIANS,English,55335,18 and up,3,1
JOHN WOOD  CAMPBELL,INVADERS FROM THE INFINITE,English,64536,18 and up,3,0
Sewell Peaslee  Wright,The God in the Box,English,8801,18 and up,3,0
Edgar  Pangborn,The Good Neighbors,English,1953,18 and up,3,0
Anthony  Wilder,When Super-Apes Plot,English,14710,18 and up,3,0
Raymond Zinke  Gallun,Big Pill,English,7851,18 and up,3,0
Gordon Randall  Garrett,Unwise Child,English,51423,18 and up,3,0
Percy  Greg,Across the Zodiac ,English,164371,18 and up,3,0
Stephen  Bartholomew,The Standardized Man,English,3589,18 and up,3,1
John  W Campbell,The Black Star Passes,English,92774,18 and up,3,2
Charles  E. Fritch,I Like Martian Music,English,2553,18 and up,3,0
Richard S.  Shaver,I Remember Lemuria,English,35151,18 and up,3,0
Various Various,"Astounding Stories, August, 1931",English,69578,18 and up,3,1
Various Various,"Astounding Stories, May, 1931",English,72810,18 and up,3,1
John Addington  Symonds,"Renaissance in Italy, Volume 1 (of 7)",English,120196,18 and up,2,0
Elizabeth Cady  Stanton,Eighty Years And More; Reminiscences 1815-1897 (Fiscle Part-4),English,137078,18 and up,2,0
Various None,"A Psychiatric Milestone (fiscle part- 9) Bloomingdale Hospital Centenary, 1821-1921",English,42702,18 and up,2,0
Adlai  E. Stevenson,Something of   Men I Have Known   Part 1,English,81240,18 and up,2,0
Adlai E. Stevenson,Something of   Men I Have Known    Part 2,English,69804,18 and up,2,0
Ernst Haeckel T. H Huxley,Freedom in Science and Teaching,English,39013,18 and up,2,0
"Ernst  Haeckel , T. H. Huxley",Freedom in Science and Teaching ,English,38989,18 and up,2,0
Ernst  Heinrich,The Evolution of Man VOL 1,English,106476,18 and up,2,1
Ernst  Heinrich,The Evolution of Man Vol 2,English,108890,18 and up,2,1
 ERNST  HAECKEL,MONISM AS CONNECTING RELIGION AND SCIENCE,English,16494,18 and up,2,0
"Ernst Haeckel , T. H. Huxley ",FREEDOM IN SCIENCE AND TEACHING,English,31853,18 and up,2,0
H. Rider  Haggard,"Doctor Therne, ",English,47420,18 and up,2,1
"Ernst  Haeckel, J. Arthur  Thomson ",Evolution in Modern Thought,English,95794,18 and up,2,0
Patrick  Wilkins,For Every Man A Reason,English,8164,18 and up,2,0
H. RIDER  HAGGARD,DOCTOR THERNE,English,47737,18 and up,2,1
Robert  E. Gilbert,A Thought For Tomorrow,English,4462,18 and up,2,0
GORDON RANDALL  GARRETT,GOLDEN DESPOILERS OF THE EMPIRE,English,16572,18 and up,2,1
Gerald  Allan Sohl,Brknk's Bounty,English,3027,18 and up,2,0
Bryce  Walton,Bryce Walton,English,4629,18 and up,2,0
 Gordon  Randall Garrett,By Proxy,English,14412,18 and up,2,0
John  Pollard,Call Him Savage,English,11963,18 and up,2,1
George  Oliver Smith,The Fourth R,English,63420,18 and up,2,1
Philip Verrill  Mighels,The Furnace of Gold,English,86887,18 and up,2,0
Roy  J. Snell,The Galloping Ghost,English,49058,18 and up,2,0
H.G. Wells,WHEN THE SLEEPER WAKES,English,83447,18 and up,2,1
Rufus  T. Strohm,Engineering Bulletin No 1: Boiler and Furnace Testing,English,7285,18 and up,2,0
Samuel  Butler,Essays on Life,English,65680,18 and up,2,0
Thornton  DeKy,THE ULTIMATE EXPERIMENT,English,1443,18 and up,2,2
Frederik  Pohl,The Tunnel Under The World,English,11343,18 and up,2,0
Anthony  Gilmore,Hawk Carse,English,18591,18 and up,2,1
Gordon Randall  Garrett,Hanging by a Thread,English,9575,18 and up,2,0
Clifford Donald  Simak,Hellhounds of the Cosmos,English,10168,18 and up,2,2
James  H. Schmitz,HAM SANDWICH,English,8828,18 and up,2,0
Robert  Cromie,THE CRACK OF DOOM,English,39241,18 and up,2,0
Charles  Darwin,"The Descent of Man, and Selection in Relation to Sex",English,307615,18 and up,2,1
VK Fourstone,Einsteiner,English,64006,18 and up,2,0
Kathleen  Norris,The Heart Of Rachael (Fiscle Part-Vi),English,131375,18 and up,2,0
JOHN VICTOR PETERSON,LOST IN THE FUTURE,English,956,18 and up,2,2
DAVID  C. KNIGHT,THE LOVE OF FRANK NINETEEN,English,7060,18 and up,2,0
ROBERT SHIRLEY  RICHARDSON,DISTURBING SUN,English,4067,18 and up,2,0
ROBERT  WELLES RITCHIE,DUST OF THE DESERT,English,59420,18 and up,2,0
CHARLES  G. D. ROBERTS,IN THE MORNING OF TIME,English,80096,18 and up,2,0
Philip Francis Nowlan,Armageddon--2419 A.D.,English,26026,18 and up,2,1
Philip Francis  Nowlan,Armageddon--2419 A.D.,English,26026,18 and up,2,0
Geoff St.  Reynard,The Buttoned Sky,English,34485,18 and up,2,1
Percy Greg,Across the Zodiac,English,164236,18 and up,2,0
"F. H. Leeds, W. J. Atkinson  Butterfield","Acetylene, The Principles Of Its Generation And Use",English,165914,18 and up,2,0
William Dean  Howells,Dr. Breen's Practice,English,58477,18 and up,2,0
Henry Smith  Williams,"A History of Science, Volume 1",English,84016,18 and up,2,0
Roy Rockwood,Through Space To Mars,English,45415,18 and up,2,0
Victor  Appleton,Tom Swift And His Electric Locomotive,English,41450,18 and up,2,0
Roger Dee,To Remember Charlie,English,5957,18 and up,2,0
Victor  Appleton,Tom Swift and his Electric Rifle,English,41417,18 and up,2,1
Victor  Appleton,Tom Swift And His Electric Runabout,English,42011,18 and up,2,1
Victor  Appleton,Tom Swift and His Giant Telescope,English,17034,18 and up,2,1
Victor  Appleton,Tom Swift and his Great Searchlight,English,42409,18 and up,2,1
Victor  Appleton,Tom Swift and his Giant Cannon ,English,42532,18 and up,2,1
Edward Elmer  Smith,Triplanetary,English,57053,18 and up,2,0
Fredric Brown,Two Timer,English,758,18 and up,2,0
Lester del Rey,Badge of Infamy,English,31286,18 and up,2,1
Carroll Mather  Capps,Tulan,English,6913,18 and up,2,1
Douglas Houghton  Campbell,Elements of Structural and Systematic Botany For High Schools and Elementary College Courses,English,75996,18 and up,2,0
Horace Brown  Fyfe,Exile,English,4901,18 and up,2,1
Johan August Udden,"Fossil Ice Crystals An Instance of the Practical Value of ""Pure Science""",English,2029,18 and up,2,0
William  Garnett,Heroes of Science: Physicists,English,85353,18 and up,2,0
Cory Doctorow,"Home Again, Home Again",English,10889,18 and up,2,1
Joseph Everidge  Kelleam,Hunters Out of Space,English,43093,18 and up,2,1
Robert Sheckley,Keep Your Shape,English,6044,18 and up,2,0
"Benjamin  Rosenbaum , Cory  Doctorow",TRUE NAMES,English,32318,18 and up,2,0
John Reed Scott,The Colonel of the Red Huzzars,English,70051,18 and up,2,1
Fredric Brown,The Fabulous Clipjoint,English,60439,18 and up,2,0
Frederik  Pohl,The Day of the Boomer Dukes,English,8086,18 and up,2,0
William A.  Williams,The Evolution Of Man Scientifically Disproved,English,49885,18 and up,2,0
"Irving E. Cox, Jr.",The Instant of Now,English,16347,18 and up,2,0
Neil Ronald Jones,The Jameson Satellite,English,8638,18 and up,2,0
Sewell Peaslee Wright,The Infra-Medians,English,6839,18 and up,2,0
"Joseph E. Badger, Jr.",The Lost City,English,57028,18 and up,2,1
H. G.  Wells,The Island of Doctor Moreau,English,43473,18 and up,2,0
John Wood  Campbell,The Last Evolution,English,6946,18 and up,2,1
Thomas De  Quincey,"The Posthumous Works of Thomas De Quincey, Vol. II (2 vols)",English,76671,18 and up,2,0
Paul Ernst,The Red Hell of Jupiter,English,24387,18 and up,2,0
Roger Dee,Control Group,English,4941,18 and up,2,0
Nikola Tesla,Experiments with Alternate Currents of High Potential and High Frequency,English,37794,18 and up,2,0
Clyde Brown,First Man,English,7096,18 and up,2,0
Johan August  Udden,"Fossil Ice Crystals An Instance of the Practical Value of ""Pure Science""",English,2764,18 and up,2,0
Tobias S.  Buckell,Four Eyes,English,5023,18 and up,2,1
James H Schmitz,Legacy,English,76381,18 and up,2,1
Gordon Randall Garrett,After a Few Words,English,3027,18 and up,2,0
Tobias S. Buckell,Aerophilia,English,4786,18 and up,2,0
Robert H.  Wilson,Out Around Rigel,English,8436,18 and up,2,0
Olaf Stapledon,Last Men in London,English,111400,18 and up,2,0
Marion Zimmer  Bradley,Year of the Big Thaw,English,3080,18 and up,2,0
Roger Phillips  Graham,Ye of Little Faith,English,16804,18 and up,2,0
Isaac  Asimov,Youth,English,10228,18 and up,2,1
Francis Lynde,The Wreckers,English,86223,18 and up,2,0
E. G. von  Wald,World Without War,English,5729,18 and up,2,1
Robert Abernathy,World of the Drone,English,21887,18 and up,2,1
Eliot Gregory,Worldly Ways and Byways,English,63640,18 and up,2,0
Henry Kuttner,The Secret of Kralitz,English,2987,18 and up,2,0
Lester del  Rey,The Sky Is Falling,English,34420,18 and up,2,1
"Edward Elmer Smith, Lee Hawkins  Garby",The Skylark of Space,English,85335,18 and up,2,1
Fred M.  White,The Slave of Silence,English,85634,18 and up,2,0
Gordon Randall  Garrett,Instant of Decision,English,8804,18 and up,2,0
Charles L.  Fontenay,The Silk and the Song,English,10413,18 and up,2,1
"Gordon Randall Garrett, Laurence Mark  Janifer",Brain Twister,English,40548,18 and up,2,1
Clark South,The Time Mirror,English,17360,18 and up,2,1
Robert Shirley  Richardson,Disturbing Sun,English,4075,18 and up,2,0
Jules Verne,The Voyages and Adventures of Captain Hatteras,English,135025,18 and up,2,1
Henry Raymond Rogers,New and Original Theories of the Great Physical Forces,English,13362,18 and up,2,0
Carey Rockwell,Stand by for Mars!,English,56453,18 and up,2,0
Carey Rockwell,On the Trail of the Space Pirates,English,52345,18 and up,2,1
F. St.  Mars,The Way of the Wild,English,90151,18 and up,2,1
Dallas McCord  Reynolds,Subversive,English,6923,18 and up,2,0
John Joseph  McGuire,Take the Reason Prisoner,English,20091,18 and up,2,0
Garrett P.  Serviss,The Moon Metal,English,24458,18 and up,2,0
Tom Godwin,And Devious the Line of Duty,English,13737,18 and up,2,0
William Scoresby,Memorials of the Sea,English,58551,18 and up,2,0
"Annie Besant, Charles W.  Leadbeater",Occult Chemistry Clairvoyant Observations on the Chemical Elements,English,32140,18 and up,2,0
Edgar F. Smith,"James Cutbush An American Chemist, 1788-1823",English,12357,18 and up,2,0
Samuel Smiles,Men of Invention and Industry,English,114442,18 and up,2,0
William T. Smedley,The Mystery of Francis Bacon,English,57057,18 and up,2,1
George Oliver  Smith,The Big Fix,English,9271,18 and up,2,0
Green Peyton Wertenbaker,The Chamber of Life,English,11280,18 and up,2,1
W. de W.  Abney,Colour Measurement and Mixture,English,39950,18 and up,2,0
Ray Stannard  Baker,Boys' Second Book of Inventions,English,39150,18 and up,2,0
L. H.  Bailey,The Apple-Tree,English,27722,18 and up,2,0
Henry Saint George,"The Bow, Its History, Manufacture and Use 'The Strad' Library, No. III",English,29348,18 and up,2,0
John Woo Campbell,Invaders From The Infinite,English,64452,18 and up,2,1
John Carr,The Stranger in France,English,67267,18 and up,2,0
Charles Dye,Regeneration,English,3801,18 and up,2,0
A. T.  Mahan,"The Interest of America in Sea Power, Present and Future",English,56555,18 and up,2,0
Henry Smith Williams,"A History of Science, Volume 3",English,82358,18 and up,2,1
George Forbes,History of Astronomy,English,42412,18 and up,2,0
Vernon L. McCain,The Hitch Hikers,English,4379,18 and up,2,1
William J. Smith,The Last Straw,English,7282,18 and up,2,1
George H. Smith,The Ordeal Of Colonel Johns,English,3377,18 and up,2,0
Horace Brown Fyfe,The Outbreak Of Peace,English,1640,18 and up,2,0
Michael Shaara,Wainer,English,4638,18 and up,2,0
Robert Sheckley,Warm,English,3038,18 and up,2,0
Ron Cocking,Warning From The Stars,English,6415,18 and up,2,2
Robert Sheckley,Warrior Race,English,4055,18 and up,2,4
Howard L. Myers,The Reluctant Weapon,English,6443,18 and up,2,1
"H. Beam Piper , John J. McGuire",The Return,English,11254,18 and up,2,1
JAMES  H. SCHMITZ,THE STAR HYACINTHS,English,16118,18 and up,2,1
FRANK  QUATTROCCHI,THE SWORD,English,3971,18 and up,2,1
EDWARD ELMER  SMITH,The Vortex Blaster,English,8169,18 and up,2,1
EVELYN E.  SMITH,THE VENUS TRAP,English,9921,18 and up,2,1
RICHARD   STOCKHAM,THE VALLEY,English,5880,18 and up,2,0
C. L. MOORE  MOORE,THE TREE OF LIFE,English,11317,18 and up,2,0
FREDRIC  BROWN,TWO TIMER,English,750,18 and up,2,0
EDGAR RICE  BURROUGHS,"THUVIA, MAID OF MARS",English,45433,18 and up,2,2
H. BEAM  PIPER,TIME CRIME,English,36963,18 and up,2,1
ANN  WILSON,TIMELINE,English,1157,18 and up,2,1
EVERETT B.  COLE,THE WEAKLING,English,17243,18 and up,2,0
CHARLES  STROSS,TOAST,English,81089,18 and up,2,1
"WILLIAM  CROOKE,  W. H. D.  ROUSE",THE TALKING THRUSH,English,44637,18 and up,2,0
MEYER   MOLDEVEN,THE UNIVERSE -- OR NOTHING,English,68579,18 and up,2,0
JAMES H.   SCHMITZ,THE OTHER LIKENESS,English,6478,18 and up,2,0
MICHAEL  SHAARA,WAINER,English,4623,18 and up,2,0
W.W.  SKUPELDYCKLE,THE ROMANTIC ANALOGUE,English,4279,18 and up,2,0
Henry Beam Piper,The Answer,English,4628,18 and up,2,0
JAMES  MCKIMMEY,THE EYES HAVE IT,English,3030,18 and up,2,0
FREDERIK  POHL,THE DAY OF THE BOOMER DUKES,English,9089,18 and up,2,0
BRADNER   BUCKNER,THE DAY TIME STOPPED MOVING,English,5980,18 and up,2,1
SEWELL PEASLEE  WRIGHT,THE DEATH-TRAPS OF FX-31,English,9418,18 and up,2,0
HENRY BEAM  PIPER,THE COSMIC COMPUTER,English,64164,18 and up,2,0
JOHN STEWART  WILLIAMSON,THE COSMIC EXPRESS,English,4933,18 and up,2,0
ROBERT  CROMIE,THE CRACK OF DOOM,English,42805,18 and up,2,0
JUSTIN   MCCARTHY,THE DICTATOR,English,112726,18 and up,2,0
 JOHN BURROUGHS,THE BREATH OF LIFE,English,71095,18 and up,2,0
EVELYN E.  SMITH,THE DOORWAY,English,1651,18 and up,2,0
DAN T.  MOORE,THE DOUBLE SPY,English,7461,18 and up,2,0
Jay Williams,The Asa Rule,English,7268,18 and up,2,0
Thomas Orchard,The Astronomy Of Milton's 'Paradise Lost',English,81684,18 and up,2,0
MARI   WOLF,AN EMPTY BOTTLE,English,6179,18 and up,2,0
ANN  WILSON,A MATTER OF HONOR,English,50915,18 and up,2,1
STEPHEN   BARTHOLOMEW,THE STANDARDIZED MAN,English,3593,18 and up,2,0
ARTHUR G.  STANGLAND,THE BLACK TIDE,English,6197,18 and up,2,0
MARI  WOLF,HOMO INFERIOR,English,16457,18 and up,2,0
RUSSELL ROBERT   WINTERBOTHAM,LONESOME HEARTS,English,1908,18 and up,2,1
ANN WILSON,CONCORDANCE,English,25180,18 and up,2,0
ROBERT  MOORE WILLIAMS,PLANET OF THE GODS,English,14351,18 and up,2,1
GEORGE GRIFFITH,THE WORLD PERIL OF 1910,English,95066,18 and up,2,0
DONALD E.  WESTLAKE,THEY ALSO SERVE,English,1903,18 and up,2,1
